Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,64.69,1352
ex6_2_6,49.67,60128
ex6_2_8,26.16,31686
ex6_2_9,20.47,21620
ex6_2_12,6.06,7728
ex8_4_4bis,58.22,75280
hs093,368.75,456058
ex6_2_10,412.71,330090
ex14_2_7,28.97,9214
ex6_1_3bis,10.21,11170
ex8_5_1bis,5.76,3804
hs102,2095.63,901558
hs103,741.13,257730
dualc5,71.29,54390
dualc8,300.96,188522
ex2_1_9bis,87.41,77556
hs108,78.56,38108
mistake,751.90,373552
ex2_1_9,7.88,5048
odfits,33.71,17704
hs113,9.78,3114
chem,1840,907452
chem-1,1459.97,907452
chembis,749.40,479978
ex6_1_3,80.07,15818
sambal,1945.13,515918
himmel16,18.30,5186
ex2_1_7,9.32,2430
ex2_1_8,8.64,1666
launch,4.47,232
