Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,56.07,1344
ex6_2_6,51.51,60246
ex6_2_8,22.95,31810
ex6_2_9,23.00,21620
ex6_2_12,6.44,7728
ex8_4_4bis,62.52,77624
hs093,328.10,389732
ex6_2_10,407.24,330090
ex14_2_7,30.26,9944
ex6_1_3bis,10.19,11170
ex8_5_1bis,6.49,4180
hs102,1630.88,867400
hs103,754.67,269962
dualc5,74.67,54684
dualc8,290.31,188766
ex2_1_9bis,83.02,74338
hs108,78.51,36570
mistake,788.35,386918
ex2_1_9,7.79,5176
odfits,37.32,17852
hs113,10.44,3392
chem,1814.18,908132
chem-1,1493.81,908132
chembis,728.15,479506
ex6_1_3,84.51,16820
sambal,2099.82,507884
himmel16,19.43,5318
ex2_1_7,9.49,2422
ex2_1_8,8.28,1590
launch,5.51,426
