Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,54.53,1318
ex6_2_6,51.49,60392
ex6_2_8,27.71,31866
ex6_2_9,19.44,21432
ex6_2_12,5.78,7728
ex8_4_4bis,54.80,77722
hs093,329.75,396240
ex6_2_10,405.07,330088
ex14_2_7,38.69,12950
ex6_1_3bis,9.74,11170
ex8_5_1bis,5.39,3610
hs102,1727.82,888416
hs103,635.49,262244
dualc5,70.28,54224
dualc8,311.85,187112
ex2_1_9bis,84.52,75034
hs108,75.05,34088
mistake,852.48,397856
ex2_1_9,7.80,5170
odfits,35.89,17748
hs113,10.29,3282
chem,1653.27,905536
chem-1,1393.76,905536
chembis,759.18,479978
ex6_1_3,94.06,17344
sambal,2063.48,511984
himmel16,16.82,4606
ex2_1_7,9.34,2396
ex2_1_8,8.62,1684
launch,22.87,2936
