Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,364.49,1352
ex6_2_6,81.39,60408
ex6_2_8,41.63,31750
ex6_2_9,31.99,21528
ex6_2_12,9.34,7778
ex8_4_4bis,114.98,78110
hs093,754.59,452436
ex6_2_10,774.35,330648
ex14_2_7,80.86,12246
ex6_1_3bis,19.87,11192
ex8_5_1bis,10.88,3826
hs102,3671.99,940270
hs103,1164.01,263366
dualc5,122.06,54170
dualc8,517.78,189592
ex2_1_9bis,156.29,75340
hs108,144.98,39154
mistake,1563.65,426466
ex2_1_9,13.57,5128
odfits,52.28,17652
hs113,19.7,4592
chem,2909.92,902646
chem-1,2941.41,902646
chembis,1484.4,484124
ex6_1_3,141.14,18128
sambal,3352.71,510582
himmel16,22.76,2902
ex2_1_7,21.94,2390
ex2_1_8,15.82,1550
launch,35.16,2528
