Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,362.48,1352
ex6_2_6,84.32,60468
ex6_2_8,38.67,31798
ex6_2_9,30.68,21528
ex6_2_12,10.19,7778
ex8_4_4bis,108.36,76174
hs093,690.15,398072
ex6_2_10,787.47,330648
ex14_2_7,78.82,12042
ex6_1_3bis,19.3,11192
ex8_5_1bis,13.23,4508
hs102,3704.45,941726
hs103,1111.9,252904
dualc5,112.49,53084
dualc8,542.93,190698
ex2_1_9bis,162.29,75064
hs108,149.66,36602
mistake,1566.01,404790
ex2_1_9,13.27,5078
odfits,51.65,18420
hs113,22.37,5334
chem,2906.77,908284
chem-1,3061.45,908284
chembis,1435.45,486592
ex6_1_3,151.55,19180
sambal,3217.68,482970
himmel16,21.56,2902
ex2_1_7,22.37,2384
ex2_1_8,16.89,1634
launch,52.53,2832
