Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,395.91,1352
ex6_2_6,85.86,60408
ex6_2_8,39.06,31794
ex6_2_9,29.96,21528
ex6_2_12,9.34,7778
ex8_4_4bis,110.57,77136
hs093,636.94,410756
ex6_2_10,756.06,330912
ex14_2_7,99.21,14976
ex6_1_3bis,18.38,11254
ex8_5_1bis,10.99,4104
hs102,3615.72,934890
hs103,1064.05,259606
dualc5,118.42,55292
dualc8,543.23,188534
ex2_1_9bis,154.97,74802
hs108,151.69,41412
mistake,1624.12,437358
ex2_1_9,15.76,5056
odfits,58.99,18088
hs113,19.97,5082
chem,2998.78,905272
chem-1,2994.92,905272
chembis,1055.3,485634
ex6_1_3,106.24,14472
sambal,3356.57,483164
himmel16,19.18,2560
ex2_1_7,20.04,2492
ex2_1_8,18.39,1710
launch,11.25,444
