Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3643.5260000000003,929030
sambal,3312.05,493737
chem-1,3003.532,906406
chem,2960.1639999999998,906406
mistake,1581.4940000000001,422449
chembis,1218.826,484216
hs103,1076.4360000000001,257112
ex6_2_10,773.022,330777
hs093,689.346,420759
dualc8,539.358,189976
hs088,376.354,1352
ex2_1_9bis,158.174,75392
hs108,157.148,41182
ex6_1_3,132.752,17462
dualc5,117.752,53850
ex8_4_4bis,110.992,77285
ex6_2_6,82.856,60310
ex14_2_7,82.346,12758
odfits,55.674,18108
ex6_2_8,39.704,31777
ex6_2_9,30.630000000000003,21528
launch,24.054,1324
hs113,21.282,5188
himmel16,21.228,2823
ex2_1_7,21.206,2417
ex6_1_3bis,18.95,11215
ex2_1_8,18.77,1758
ex2_1_9,13.666,5086
ex8_5_1bis,11.546000000000001,4133
ex6_2_12,9.59,7778
