Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,87.21,1224
ex6_2_6,50.90,60092
ex6_2_8,24.33,32014
ex6_2_9,19.75,21432
ex6_2_12,6.16,7818
ex8_4_4bis,58.59,79162
hs093,345.69,398410
ex6_2_10,459.03,330704
ex14_2_7,37.83,11516
ex6_1_3bis,10.72,11018
ex8_5_1bis,5.79,3718
hs102,2032.48,934348
hs103,641.54,255876
dualc5,67.47,53872
dualc8,291.51,185596
ex2_1_9bis,80.56,75242
hs108,115.42,42242
mistake,938.15,421660
ex2_1_9,6.33,5132
odfits,30.12,19028
hs113,9.82,4540
chem,1633.91,903644
chem-1,1726.64,903644
chembis,781.77,484742
ex6_1_3,92.70,16052
sambal,1871.99,501646
himmel16,21.79,4558
ex2_1_7,12.33,2356
ex2_1_8,11.01,1698
launch,5.50,202
