Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,84.26,1224
ex6_2_6,51.30,59610
ex6_2_8,24.25,31708
ex6_2_9,19.62,21432
ex6_2_12,6.01,7818
ex8_4_4bis,59.21,76748
hs093,349.30,414204
ex6_2_10,448.83,330798
ex14_2_7,40.61,12232
ex6_1_3bis,10.83,11018
ex8_5_1bis,6.29,3874
hs102,2001.86,939710
hs103,633.05,251342
dualc5,64.60,51792
dualc8,293.57,187658
ex2_1_9bis,80.91,75558
hs108,118.51,41698
mistake,952.54,427856
ex2_1_9,6.45,5188
odfits,30.14,18488
hs113,10.06,4460
chem,1587.03,909878
chem-1,1695.78,909878
chembis,774.07,476770
ex6_1_3,139.16,19024
sambal,2050.06,500450
himmel16,21.15,4174
ex2_1_7,12.31,2428
ex2_1_8,9.77,1552
launch,50.82,3914
