Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,80.77,1258
ex6_2_6,50.26,60298
ex6_2_8,25.84,31864
ex6_2_9,19.78,21432
ex6_2_12,6.13,7818
ex8_4_4bis,59.69,77506
hs093,367.13,440284
ex6_2_10,461.30,330704
ex14_2_7,42.04,11460
ex6_1_3bis,10.73,11018
ex8_5_1bis,6.58,4126
hs102,2016.53,918724
hs103,644.37,269626
dualc5,66.75,53284
dualc8,296.15,188942
ex2_1_9bis,80.50,75208
hs108,103.93,49128
mistake,990.12,421398
ex2_1_9,6.27,5022
odfits,31.12,18026
hs113,11.39,5126
chem,1731.41,903732
chem-1,1866.16,903732
chembis,811.27,476770
ex6_1_3,72.18,14078
sambal,1739.46,467912
himmel16,21.01,4178
ex2_1_7,12.65,2548
ex2_1_8,9.99,1522
launch,52.07,4814
