Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3804.98,899659
sambal,3494.74,514551
chem-1,3056.85,903476
chem,3013.87,903476
mistake,1541.18,411870
chembis,1193.22,481408
hs103,1147.43,257569
ex6_2_10,774.44,330798
hs093,724.29,436551
dualc8,549.98,188440
hs088,483.13,1324
ex2_1_9bis,163.82,74868
hs108,158.64,39493
ex6_1_3,123.98,16785
dualc5,118.95,54801
ex8_4_4bis,112.76,77980
ex6_2_6,83.06,60210
ex14_2_7,81.0,11962
odfits,56.11,18126
ex6_2_8,40.06,31782
ex6_2_9,30.65,21500
himmel16,29.1,3797
ex2_1_7,21.81,2488
hs113,21.64,5192
ex6_1_3bis,19.12,11214
ex2_1_8,17.94,1642
ex2_1_9,14.25,5150
launch,12.52,703
ex8_5_1bis,11.52,4064
ex6_2_12,9.43,7762
