Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,452.07,1308
ex6_2_6,81.74,60294
ex6_2_8,40.13,31816
ex6_2_9,29.5,21558
ex6_2_12,9.68,7762
ex8_4_4bis,110.56,77224
hs093,709.04,442512
ex6_2_10,768.74,330888
ex14_2_7,68.14,10488
ex6_1_3bis,18.47,11214
ex8_5_1bis,11.29,4270
hs102,3595.18,882006
hs103,1210.23,285388
dualc5,117.73,54908
dualc8,537.76,189096
ex2_1_9bis,162.9,74756
hs108,148.09,36220
mistake,1470.15,399358
ex2_1_9,15.19,5234
odfits,57.2,18100
hs113,19.09,4724
chem,3039.41,901682
chem-1,3022.79,901682
chembis,1008.79,483702
ex6_1_3,122.29,15048
sambal,3419.78,511558
himmel16,38.78,4442
ex2_1_7,21.26,2484
ex2_1_8,18.77,1706
launch,5.31,144
