Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,470.13,1308
ex6_2_6,85.4,59960
ex6_2_8,39.42,31776
ex6_2_9,31.47,21462
ex6_2_12,9.62,7762
ex8_4_4bis,113.4,78686
hs093,699.98,389502
ex6_2_10,795.09,330664
ex14_2_7,88.24,13082
ex6_1_3bis,18.67,11214
ex8_5_1bis,13.02,4472
hs102,3780.34,887772
hs103,1116.11,212288
dualc5,125.59,56356
dualc8,551.24,187588
ex2_1_9bis,168.25,74828
hs108,162.39,43416
mistake,1478.58,408260
ex2_1_9,13.74,5172
odfits,52.85,17930
hs113,22.87,5428
chem,2982.18,906304
chem-1,3102.72,906304
chembis,1311.27,480316
ex6_1_3,127.96,18626
sambal,3302.11,490976
himmel16,22.71,3082
ex2_1_7,22.53,2470
ex2_1_8,17.65,1622
launch,12.18,422
