Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,492.62,1308
ex6_2_6,81.59,60244
ex6_2_8,39.52,31688
ex6_2_9,30.35,21462
ex6_2_12,9.1,7762
ex8_4_4bis,112.17,78702
hs093,759.6,447806
ex6_2_10,769.92,330888
ex14_2_7,98.96,14756
ex6_1_3bis,19.78,11214
ex8_5_1bis,11.74,3952
hs102,3835.38,880666
hs103,1091.36,263068
dualc5,117.49,54604
dualc8,552.46,187020
ex2_1_9bis,166.27,75142
hs108,157.39,36332
mistake,1569.27,420964
ex2_1_9,14.38,4978
odfits,58.94,18312
hs113,21.33,5202
chem,3027.27,902116
chem-1,3045.11,902116
chembis,1071.49,483702
ex6_1_3,123.49,17070
sambal,3375.54,497198
himmel16,28.53,3764
ex2_1_7,20.9,2430
ex2_1_8,17.26,1578
launch,6.39,168
