Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,492.98,1302
ex6_2_6,88.58,60144
ex6_2_8,41.91,31718
ex6_2_9,34.66,21386
ex6_2_12,10.42,7758
ex8_4_4bis,112.19,78702
hs093,669.86,383128
ex6_2_10,862.5,331000
ex14_2_7,83.87,12096
ex6_1_3bis,35.14,11250
ex8_5_1bis,23.57,4110
hs102,3409.61,892080
hs103,1043.02,257024
dualc5,123.87,54082
dualc8,576.74,189302
ex2_1_9bis,167.33,75250
hs108,318.21,45372
mistake,1348.19,404402
ex2_1_9,8.24,5130
odfits,54.11,18392
hs113,24.22,5784
chem,2747.3,907156
chem-1,2506.68,907156
chembis,1111.11,482736
ex6_1_3,109.58,16574
sambal,3408.71,472422
himmel16,39.52,5976
ex2_1_7,19.02,2370
ex2_1_8,15.8,1602
launch,5.9,168
