Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,514.46,1302
ex6_2_6,92.58,60374
ex6_2_8,41.97,31830
ex6_2_9,34.46,21510
ex6_2_12,10.23,7756
ex8_4_4bis,128.3,77224
hs093,669.61,460178
ex6_2_10,808.36,330742
ex14_2_7,66.29,8520
ex6_1_3bis,36.05,11250
ex8_5_1bis,17.06,4030
hs102,3423.53,918738
hs103,1065.46,262716
dualc5,123.57,52406
dualc8,579.99,184084
ex2_1_9bis,166.6,75308
hs108,236.87,54564
mistake,1363.5,394746
ex2_1_9,9.47,5200
odfits,53.67,17836
hs113,24.58,5696
chem,2688.47,898928
chem-1,2306.17,898928
chembis,1027.79,487970
ex6_1_3,118.69,15924
sambal,3202.68,513942
himmel16,34.32,5014
ex2_1_7,19.39,2456
ex2_1_8,16.15,1702
launch,4.96,144
