Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,455.84,1302
ex6_2_6,87.24,59690
ex6_2_8,43.78,31638
ex6_2_9,34.51,21386
ex6_2_12,11.22,7758
ex8_4_4bis,122.97,78686
hs093,667.26,386812
ex6_2_10,811.9,330688
ex14_2_7,82.39,11400
ex6_1_3bis,34.42,11250
ex8_5_1bis,23.57,4384
hs102,3498.51,917500
hs103,1160.36,256188
dualc5,122.67,54474
dualc8,551.3,188482
ex2_1_9bis,168.6,74812
hs108,222.52,40866
mistake,1396.85,415712
ex2_1_9,8.52,5088
odfits,55.1,17844
hs113,22.32,5390
chem,3414.26,906978
chem-1,2721.79,906978
chembis,1058.32,479520
ex6_1_3,123.0,16800
sambal,3449.06,525268
himmel16,39.09,5976
ex2_1_7,18.07,2310
ex2_1_8,18.42,1834
launch,5.55,150
