Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,377.43,1302
ex6_2_6,88.13,60074
ex6_2_8,45.73,31890
ex6_2_9,34.09,21386
ex6_2_12,11.07,7758
ex8_4_4bis,118.19,77360
hs093,645.04,391924
ex6_2_10,793.25,330688
ex14_2_7,77.99,11470
ex6_1_3bis,31.08,11250
ex8_5_1bis,23.12,4176
hs102,3624.8,921294
hs103,1114.64,258794
dualc5,117.83,53844
dualc8,568.38,189510
ex2_1_9bis,165.95,75252
hs108,173.32,38928
mistake,1466.55,410944
ex2_1_9,7.65,5034
odfits,56.31,17988
hs113,19.66,4816
chem,3224.23,908388
chem-1,2691.59,908388
chembis,1066.61,483770
ex6_1_3,103.35,16570
sambal,3266.34,503178
himmel16,41.31,6886
ex2_1_7,18.59,2414
ex2_1_8,15.96,1638
launch,4.34,108
