Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,179.84,1224
ex6_2_6,110.17,60358
ex6_2_8,53.55,31782
ex6_2_9,46.18,21516
ex6_2_12,13.68,7848
ex8_4_4bis,152.20,77790
hs093,1105.83,442068
ex6_2_10,892.00,330694
ex14_2_7,55.7,13258
ex6_1_3bis,15.3,11199
ex8_5_1bis,21.54,4220
hs102,6650.07,876922
hs103,1918.38,231700
dualc5,152.72,55124
dualc8,659.96,188118
ex2_1_9bis,234.64,75032
hs108,235.30,37234
mistake,2359.27,397440
ex2_1_9,18.76,5144
odfits,111.73,17996
hs113,38.22,4440
chem,4693.68,900532
chem-1,3435.90,900532
chembis,1325.75,481620
ex6_1_3,234.20,18430
sambal,6151.43,509984
himmel16,64.20,4428
ex2_1_7,51.07,3050
ex2_1_8,25.22,1878
launch,8.63,92
