Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,216.48,1218
ex6_2_6,110.92,60144
ex6_2_8,54.46,31796
ex6_2_9,43.69,21436
ex6_2_12,13.60,7830
ex8_4_4bis,142.49,76748
hs093,814.67,395032
ex6_2_10,895.51,330214
ex14_2_7,58.8,13258
ex6_1_3bis,15.3,11199
ex8_5_1bis,20.83,4180
hs102,5858.89,894210
hs103,1509.26,242300
dualc5,146.26,52102
dualc8,738.22,189100
ex2_1_9bis,212.02,74948
hs108,244.28,36028
mistake,2212.40,367992
ex2_1_9,19.49,5140
odfits,109.86,18092
hs113,33.05,4134
chem,4277.66,909874
chem-1,3488.82,909874
chembis,1436.39,484868
ex6_1_3,196.42,15406
sambal,4907.27,538990
himmel16,30.59,2114
ex2_1_7,39.43,2454
ex2_1_8,23.10,1636
launch,27.69,354
