Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,6206.784,904136
sambal,5631.928,512628
chem,4398.884,905274
chem-1,3433.862,905274
mistake,2305.2200000000003,389275
hs103,1654.646,239360
chembis,1306.9959999999999,483676
hs093,949.7360000000001,412702
ex6_2_10,884.6139999999999,330598
dualc8,700.922,188081
ex2_1_9bis,248.788,75072
hs108,243.224,36591
hs088,211.05,1222
ex6_1_3,209.26399999999998,16263
dualc5,156.294,53592
ex8_4_4bis,150.48399999999998,78060
ex6_2_6,111.072,60106
odfits,101.212,18214
ex14_2_7,58.17999999999999,13258
ex6_2_8,53.996,31782
launch,45.4,735
ex6_2_9,44.832,21484
ex2_1_7,41.726,2540
hs113,37.153999999999996,4150
himmel16,34.806,2412
ex2_1_8,22.402,1613
ex8_5_1bis,19.69,3972
ex2_1_9,19.224,5176
ex6_1_3bis,15.3,11199
ex6_2_12,13.764,7840
