Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,227.05,1216
ex6_2_6,111.92,60410
ex6_2_8,53.81,31912
ex6_2_9,44.89,21516
ex6_2_12,14.14,7848
ex8_4_4bis,146.35,77506
hs093,974.71,438296
ex6_2_10,871.36,330694
ex14_2_7,58.8,13258
ex6_1_3bis,15.3,11199
ex8_5_1bis,18.91,3854
hs102,6144.94,917368
hs103,1555.90,237668
dualc5,153.89,53666
dualc8,675.64,187886
ex2_1_9bis,257.14,75256
hs108,238.39,34012
mistake,2405.67,406852
ex2_1_9,19.82,5124
odfits,94.46,18018
hs113,37.93,4292
chem,4465.86,903910
chem-1,3671.65,903910
chembis,1289.34,484868
ex6_1_3,203.52,15316
sambal,5842.44,497504
himmel16,26.56,1874
ex2_1_7,40.25,2438
ex2_1_8,21.32,1478
launch,15.15,168
