Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,226.42,1238
ex6_2_6,111.03,59796
ex6_2_8,53.44,31692
ex6_2_9,44.87,21516
ex6_2_12,13.75,7848
ex8_4_4bis,163.66,79098
hs093,1029.38,403596
ex6_2_10,892.00,330694
ex14_2_7,58.8,13258
ex6_1_3bis,15.3,11199
ex8_5_1bis,18.64,3848
hs102,6521.13,937974
hs103,1690.40,236938
dualc5,148.24,52930
dualc8,676.58,188410
ex2_1_9bis,342.94,75212
hs108,244.84,37458
mistake,2228.03,381334
ex2_1_9,19.68,5352
odfits,94.23,17924
hs113,42.61,4048
chem,4189.18,906946
chem-1,3483.03,906946
chembis,1222.65,482976
ex6_1_3,201.68,15338
sambal,5533.44,507524
himmel16,27.33,1866
ex2_1_7,38.56,2384
ex2_1_8,21.11,1552
launch,29.60,386
