Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,454.79,1308
ex6_2_6,88.0,60258
ex6_2_8,44.13,31832
ex6_2_9,34.32,21462
ex6_2_12,10.98,7762
ex8_4_4bis,116.04,77360
hs093,732.56,446166
ex6_2_10,794.72,330664
ex14_2_7,80.77,12034
ex6_1_3bis,36.67,11214
ex8_5_1bis,21.88,3748
hs102,3634.34,890672
hs103,1129.8,253046
dualc5,126.41,54842
dualc8,568.82,190924
ex2_1_9bis,167.93,74892
hs108,183.36,41108
mistake,1486.43,406448
ex2_1_9,13.32,5120
odfits,56.26,18224
hs113,22.19,5330
chem,3213.75,904904
chem-1,2688.34,904904
chembis,1036.68,479008
ex6_1_3,137.09,18896
sambal,3465.67,536908
himmel16,27.29,3764
ex2_1_7,19.09,2556
ex2_1_8,14.49,1600
launch,4.64,108
