Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,442.48,1302
ex6_2_6,85.68,59960
ex6_2_8,43.04,31776
ex6_2_9,34.17,21462
ex6_2_12,10.93,7762
ex8_4_4bis,121.33,78686
hs093,682.17,389502
ex6_2_10,806.85,330664
ex14_2_7,97.65,13724
ex6_1_3bis,36.09,11214
ex8_5_1bis,22.58,4376
hs102,3337.88,898478
hs103,1180.33,255234
dualc5,134.96,56356
dualc8,577.75,187588
ex2_1_9bis,163.19,74828
hs108,252.36,46220
mistake,1360.41,406698
ex2_1_9,13.42,5172
odfits,55.16,17930
hs113,20.4,4770
chem,3413.04,906304
chem-1,2744.2,906304
chembis,1068.04,480316
ex6_1_3,122.61,16152
sambal,3267.07,490976
himmel16,31.87,4536
ex2_1_7,19.31,2470
ex2_1_8,15.24,1622
launch,11.35,422
