Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,476.47,1308
ex6_2_6,90.8,60294
ex6_2_8,42.17,31816
ex6_2_9,33.22,21558
ex6_2_12,10.99,7762
ex8_4_4bis,123.53,77224
hs093,656.61,444112
ex6_2_10,801.51,330888
ex14_2_7,102.97,10488
ex6_1_3bis,37.54,11214
ex8_5_1bis,17.49,4378
hs102,3272.61,882006
hs103,1098.7,261714
dualc5,130.33,54908
dualc8,586.35,189096
ex2_1_9bis,165.98,74756
hs108,216.39,37236
mistake,1324.23,399358
ex2_1_9,12.63,5234
odfits,52.73,18100
hs113,23.91,5720
chem,2716.24,901682
chem-1,2309.63,901682
chembis,1026.31,483702
ex6_1_3,118.95,15048
sambal,143.31,511558
himmel16,31.38,4396
ex2_1_7,18.72,2484
ex2_1_8,18.65,1706
launch,4.51,144
