Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,463.64,1308
ex6_2_6,86.75,60244
ex6_2_8,41.81,31798
ex6_2_9,35.08,21462
ex6_2_12,10.73,7762
ex8_4_4bis,115.95,78702
hs093,727.28,439680
ex6_2_10,861.04,330888
ex14_2_7,107.1,14580
ex6_1_3bis,35.92,11214
ex8_5_1bis,22.88,3952
hs102,3416.16,880666
hs103,1025.26,253020
dualc5,129.07,54604
dualc8,578.61,187020
ex2_1_9bis,168.08,75142
hs108,284.77,36332
mistake,1396.37,420964
ex2_1_9,13.17,4978
odfits,53.66,18312
hs113,22.73,5328
chem,2741.03,902116
chem-1,2492.04,902116
chembis,1121.49,483702
ex6_1_3,124.02,15548
sambal,3720.28,497198
himmel16,26.46,3764
ex2_1_7,19.08,2430
ex2_1_8,15.19,1578
launch,6.26,168
