Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
chembis,97590.90400000001,482086
ex6_1_3,3210.134,16310
chem,2961.9139999999998,903476
sambal,2867.3,514551
hs102,2820.252,898136
chem-1,2455.4440000000004,903476
mistake,1409.108,413904
hs103,1095.904,258511
ex6_2_10,812.932,330798
hs093,699.168,435246
dualc8,583.9480000000001,188440
hs088,466.038,1322
hs108,234.53400000000002,39867
ex2_1_9bis,166.35999999999999,74868
dualc5,128.768,54801
ex8_4_4bis,120.93800000000002,77980
ex14_2_7,94.368,12298
ex6_2_6,88.00399999999999,60210
odfits,54.519999999999996,18126
ex6_2_8,42.664,31807
ex6_1_3bis,37.128,11214
ex6_2_9,34.254,21500
himmel16,29.115999999999996,4096
hs113,22.654,5285
ex8_5_1bis,19.844,4067
ex2_1_7,19.048,2488
ex2_1_8,16.042,1642
ex2_1_9,13.12,5150
launch,10.978,703
ex6_2_12,10.846,7762
