Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,355.66,1302
ex6_2_6,104.45,60656
ex6_2_8,49.02,31728
ex6_2_9,39.82,21452
ex6_2_12,12.66,7848
ex8_4_4bis,139.19,76158
hs093,940.06,393586
ex6_2_10,849.29,331238
ex14_2_7,79.95,12274
ex6_1_3bis,23.01,11234
ex8_5_1bis,15.98,4284
hs102,3335.22,950290
hs103,1321.60,262440
dualc5,152.71,55614
dualc8,634.33,187066
ex2_1_9bis,402.73,136696
hs108,321.56,53228
mistake,3674.77,780556
ex2_1_9,26.56,7334
odfits,68.20,18802
hs113,30.74,5308
chem,3473.94,915248
chem-1,2878.98,915248
chembis,1183.85,490590
ex6_1_3,177.93,16604
sambal,4621.67,559760
himmel16,22.28,2146
ex2_1_7,53.65,5690
ex2_1_8,46.41,3912
launch,8.97,236
