Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,313.01,1332
ex6_2_6,106.58,60384
ex6_2_8,49.06,31782
ex6_2_9,39.55,21452
ex6_2_12,12.72,7848
ex8_4_4bis,144.79,79812
hs093,971.31,464932
ex6_2_10,854.32,331238
ex14_2_7,90.88,13890
ex6_1_3bis,23.75,11224
ex8_5_1bis,16.04,4284
hs102,3528.69,986974
hs103,1273.91,283990
dualc5,157.69,57424
dualc8,666.40,187888
ex2_1_9bis,364.34,116898
hs108,214.03,41108
mistake,3315.32,688236
ex2_1_9,39.09,10558
odfits,66.14,18154
hs113,30.33,5368
chem,3598.20,911278
chem-1,2909.18,911278
chembis,1487.21,483554
ex6_1_3,184.24,16894
sambal,4579.10,480256
himmel16,26.51,2146
ex2_1_7,56.58,5960
ex2_1_8,32.82,2728
launch,8.75,200
