Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,353.79,1346
ex6_2_6,108.12,60014
ex6_2_8,48.82,31656
ex6_2_9,40.03,21452
ex6_2_12,12.57,7848
ex8_4_4bis,140.11,76310
hs093,929.58,457990
ex6_2_10,875.64,331238
ex14_2_7,88.78,13606
ex6_1_3bis,24.11,11224
ex8_5_1bis,16.75,4594
hs102,3619.84,1020488
hs103,1235.16,275092
dualc5,161.31,59062
dualc8,647.67,184994
ex2_1_9bis,418.42,143148
hs108,263.64,50442
mistake,3479.00,735550
ex2_1_9,50.80,13552
odfits,66.72,18338
hs113,31.21,5730
chem,3708.71,917928
chem-1,3089.09,917928
chembis,1155.07,482152
ex6_1_3,162.04,15706
sambal,4164.17,469088
himmel16,21.66,2004
ex2_1_7,70.79,7352
ex2_1_8,34.33,2638
launch,6.62,182
