Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,312.95,1288
ex6_2_6,102.45,60014
ex6_2_8,49.20,31656
ex6_2_9,39.99,21452
ex6_2_12,12.67,7848
ex8_4_4bis,140.28,77114
hs093,840.39,457990
ex6_2_10,904.73,330964
ex14_2_7,88.78,13606
ex6_1_3bis,23.77,11224
ex8_5_1bis,15.98,4284
hs102,3570.20,1001504
hs103,1195.51,267402
dualc5,152.19,56408
dualc8,675.53,189942
ex2_1_9bis,427.84,142960
hs108,235.01,48276
mistake,3157.85,660720
ex2_1_9,44.94,13222
odfits,68.48,18504
hs113,27.84,5172
chem,3630.44,909476
chem-1,2920.83,909476
chembis,1147.87,490926
ex6_1_3,177.71,18064
sambal,3936.13,457268
himmel16,21.89,2004
ex2_1_7,51.08,5266
ex2_1_8,38.06,3094
launch,75.37,7694
