Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3741.8360000000002,894815
sambal,3291.13,485156
chem-1,3053.6620000000003,905110
chem,3008.268,905110
mistake,1525.7459999999999,417128
chembis,1189.964,483440
hs103,1164.396,259412
ex6_2_10,776.182,330798
hs093,753.978,447119
dualc8,547.9739999999999,188361
hs088,463.77,1308
ex2_1_9bis,165.21800000000002,74996
hs108,157.796,39532
ex6_1_3,127.38400000000001,16513
dualc5,120.28,54640
ex8_4_4bis,113.112,78134
ex14_2_7,88.902,13116
ex6_2_6,82.228,60275
odfits,56.696000000000005,18218
ex6_2_8,39.89,31744
himmel16,31.389999999999997,4054
ex6_2_9,30.901999999999997,21481
ex2_1_7,21.363999999999997,2447
hs113,20.668,4950
ex6_1_3bis,18.945999999999998,11214
ex2_1_8,17.496,1595
ex2_1_9,12.378,5104
ex8_5_1bis,12.172,4173
ex6_2_12,9.55,7762
launch,6.206,147
