Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,466.8,1308
ex6_2_6,83.63,59960
ex6_2_8,39.19,31660
ex6_2_9,31.05,21462
ex6_2_12,9.8,7762
ex8_4_4bis,112.44,78686
hs093,781.43,459370
ex6_2_10,789.99,330664
ex14_2_7,95.05,13920
ex6_1_3bis,19.44,11214
ex8_5_1bis,13.18,4588
hs102,3819.69,875284
hs103,1209.52,257026
dualc5,117.28,55072
dualc8,559.53,187958
ex2_1_9bis,169.83,74786
hs108,158.2,43416
mistake,1474.9,406158
ex2_1_9,12.2,5172
odfits,52.83,18052
hs113,18.94,4606
chem,2953.38,904788
chem-1,3089.4,904788
chembis,1275.42,481538
ex6_1_3,130.12,16152
sambal,3310.4,495380
himmel16,31.21,4536
ex2_1_7,20.54,2428
ex2_1_8,17.91,1628
launch,6.15,150
