Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,411.68,1308
ex6_2_6,82.25,60294
ex6_2_8,40.56,31848
ex6_2_9,31.06,21558
ex6_2_12,9.46,7762
ex8_4_4bis,111.72,77224
hs093,695.0,432858
ex6_2_10,773.37,330888
ex14_2_7,69.87,10488
ex6_1_3bis,18.33,11214
ex8_5_1bis,11.38,4270
hs102,3619.99,909210
hs103,1158.32,263204
dualc5,120.57,54784
dualc8,534.02,186674
ex2_1_9bis,162.88,75118
hs108,151.72,37918
mistake,1509.49,415864
ex2_1_9,13.76,5214
odfits,56.69,18194
hs113,21.94,5346
chem,3066.27,909574
chem-1,3066.05,909574
chembis,1000.9,485818
ex6_1_3,127.64,15048
sambal,3467.12,511444
himmel16,37.79,4442
ex2_1_7,23.15,2402
ex2_1_8,16.45,1594
launch,5.87,144
