Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,487.26,1308
ex6_2_6,81.3,60432
ex6_2_8,38.85,31688
ex6_2_9,30.17,21462
ex6_2_12,9.49,7762
ex8_4_4bis,112.99,78702
hs093,779.48,464126
ex6_2_10,767.54,330888
ex14_2_7,98.74,14756
ex6_1_3bis,18.56,11214
ex8_5_1bis,12.46,4044
hs102,3708.23,891260
hs103,1119.26,260880
dualc5,120.98,54574
dualc8,552.42,188794
ex2_1_9bis,165.99,75180
hs108,151.75,36116
mistake,1586.57,428720
ex2_1_9,12.57,4978
odfits,59.91,18524
hs113,20.28,4916
chem,3031.96,903118
chem-1,3045.51,903118
chembis,1074.33,485818
ex6_1_3,134.58,17070
sambal,3208.27,465608
himmel16,29.83,3764
ex2_1_7,20.95,2454
ex2_1_8,17.47,1578
launch,7.28,168
