Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,465.85,1308
ex6_2_6,82.66,60258
ex6_2_8,42.0,31838
ex6_2_9,32.06,21462
ex6_2_12,9.51,7762
ex8_4_4bis,115.42,77360
hs093,734.5,415118
ex6_2_10,782.47,330664
ex14_2_7,82.11,11662
ex6_1_3bis,19.84,11214
ex8_5_1bis,11.38,3920
hs102,3853.04,907064
hs103,1215.62,255072
dualc5,121.59,54198
dualc8,541.48,189586
ex2_1_9bis,161.4,74716
hs108,175.56,44098
mistake,1471.2,406178
ex2_1_9,10.79,5178
odfits,54.14,17798
hs113,21.9,4966
chem,2957.77,904954
chem-1,3021.84,904954
chembis,1524.84,478210
ex6_1_3,110.0,17226
sambal,3261.59,487744
himmel16,28.29,3764
ex2_1_7,21.23,2500
ex2_1_8,18.18,1600
launch,4.45,108
