Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,513.15,1388
ex6_2_6,85.39,60294
ex6_2_8,39.91,31798
ex6_2_9,30.26,21558
ex6_2_12,9.22,7762
ex8_4_4bis,111.47,77932
hs093,660.47,441320
ex6_2_10,755.85,330888
ex14_2_7,66.34,9452
ex6_1_3bis,18.06,11214
ex8_5_1bis,12.35,4576
hs102,3827.74,901046
hs103,1105.47,271140
dualc5,120.49,56352
dualc8,543.35,189546
ex2_1_9bis,156.07,74674
hs108,158.13,41922
mistake,1601.07,409134
ex2_1_9,13.15,5264
odfits,56.73,18012
hs113,18.96,4608
chem,3071.64,906652
chem-1,3084.02,906652
chembis,1072.98,481538
ex6_1_3,115.33,14662
sambal,3562.51,509872
himmel16,31.36,4024
ex2_1_7,20.83,2422
ex2_1_8,19.03,1772
launch,34.67,2676
