Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,388.0,1352
ex6_2_6,81.71,60012
ex6_2_8,39.74,31750
ex6_2_9,30.42,21528
ex6_2_12,9.04,7778
ex8_4_4bis,110.84,77564
hs093,686.45,452144
ex6_2_10,764.97,330768
ex14_2_7,93.33,14228
ex6_1_3bis,18.46,11186
ex8_5_1bis,10.2,3950
hs102,3577.25,947348
hs103,1079.62,256500
dualc5,110.55,52932
dualc8,538.5,188742
ex2_1_9bis,159.97,76766
hs108,158.93,41758
mistake,1534.46,408222
ex2_1_9,12.37,5014
odfits,56.33,18420
hs113,21.38,5270
chem,2995.11,912404
chem-1,3036.96,912404
chembis,1037.03,481564
ex6_1_3,124.73,16880
sambal,3485.98,520866
himmel16,35.87,3946
ex2_1_7,21.41,2432
ex2_1_8,18.13,1618
launch,8.4,304
