Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,358.39,1352
ex6_2_6,83.95,60468
ex6_2_8,38.84,31798
ex6_2_9,30.93,21528
ex6_2_12,9.78,7778
ex8_4_4bis,108.81,76174
hs093,700.47,401704
ex6_2_10,787.05,330648
ex14_2_7,92.01,14228
ex6_1_3bis,19.07,11192
ex8_5_1bis,12.3,4064
hs102,3767.81,946944
hs103,1097.13,251196
dualc5,116.14,54388
dualc8,545.75,190698
ex2_1_9bis,162.95,75064
hs108,163.41,37722
mistake,1560.0,423122
ex2_1_9,14.73,5078
odfits,51.77,18420
hs113,21.7,5270
chem,2920.06,908284
chem-1,3040.74,908284
chembis,1387.84,486592
ex6_1_3,144.22,17588
sambal,3157.49,472906
himmel16,33.24,4376
ex2_1_7,19.08,2404
ex2_1_8,16.41,1532
launch,51.95,2832
