Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,369.2,1352
ex6_2_6,81.25,60254
ex6_2_8,39.41,31794
ex6_2_9,30.0,21528
ex6_2_12,9.41,7778
ex8_4_4bis,111.91,77442
hs093,654.03,375742
ex6_2_10,766.03,330912
ex14_2_7,62.06,10096
ex6_1_3bis,20.02,11254
ex8_5_1bis,11.96,4138
hs102,3621.89,926608
hs103,980.4,250338
dualc5,125.2,53022
dualc8,559.38,192316
ex2_1_9bis,158.04,75136
hs108,164.29,38912
mistake,1562.49,429828
ex2_1_9,13.61,5154
odfits,58.71,17960
hs113,23.45,5886
chem,3028.4,912478
chem-1,3029.46,912478
chembis,1076.54,483166
ex6_1_3,122.41,16328
sambal,3242.2,479682
himmel16,30.56,3926
ex2_1_7,18.72,2400
ex2_1_8,19.21,1896
launch,13.91,514
