Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,354.15,1352
ex6_2_6,81.08,60408
ex6_2_8,41.97,31750
ex6_2_9,31.88,21528
ex6_2_12,9.86,7778
ex8_4_4bis,114.82,78110
hs093,755.94,452144
ex6_2_10,778.0,330648
ex14_2_7,77.42,11756
ex6_1_3bis,20.13,11192
ex8_5_1bis,10.32,3724
hs102,3444.3,891392
hs103,1164.73,256422
dualc5,123.73,54420
dualc8,508.76,189592
ex2_1_9bis,158.34,75340
hs108,138.25,35860
mistake,1567.1,428234
ex2_1_9,13.0,5128
odfits,52.93,17652
hs113,20.43,4706
chem,2929.74,902646
chem-1,2943.83,902646
chembis,1473.95,484124
ex6_1_3,133.46,16370
sambal,3406.29,515184
himmel16,31.65,4208
ex2_1_7,19.16,2434
ex2_1_8,16.88,1596
launch,33.91,2528
