Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,509.51,1308
ex6_2_6,90.67,60294
ex6_2_8,41.98,31816
ex6_2_9,34.73,21558
ex6_2_12,10.94,7762
ex8_4_4bis,124.89,77224
hs093,666.93,451884
ex6_2_10,802.82,330888
ex14_2_7,93.07,10488
ex6_1_3bis,37.06,11214
ex8_5_1bis,18.0,4378
hs102,3560.99,932944
hs103,1113.07,285388
dualc5,129.31,54908
dualc8,584.84,189096
ex2_1_9bis,163.84,74756
hs108,220.49,36918
mistake,1375.98,413062
ex2_1_9,13.37,5234
odfits,52.55,18100
hs113,20.47,4724
chem,2699.37,901682
chem-1,2312.54,901682
chembis,1031.74,483702
ex6_1_3,109.31,18180
sambal,3134.42,511558
himmel16,30.62,4396
ex2_1_7,19.74,2484
ex2_1_8,16.91,1706
launch,5.04,144
