Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3473.36,901299
sambal,3458.84,514551
chem,2962.05,903476
chem-1,2448.14,903476
mistake,1417.72,412906
hs103,1107.6,263855
chembis,1059.44,481408
ex6_2_10,812.28,330798
hs093,707.36,440875
dualc8,582.27,188440
hs088,472.64,1324
hs108,236.31,41170
ex2_1_9bis,165.75,74868
dualc5,127.94,54801
ex8_4_4bis,121.93,77980
ex6_1_3,117.22,16213
ex14_2_7,91.13,9811
ex6_2_6,87.97,60210
odfits,53.93,18126
ex6_2_8,42.78,31782
ex6_1_3bis,36.43,11214
ex6_2_9,34.46,21500
himmel16,28.98,4128
hs113,22.36,5243
ex8_5_1bis,20.03,4170
ex2_1_7,19.37,2488
ex2_1_8,15.65,1642
ex2_1_9,12.68,5150
launch,11.51,703
ex6_2_12,10.56,7762
