Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,451.5,1308
ex6_2_6,88.7,60258
ex6_2_8,45.03,31832
ex6_2_9,34.46,21462
ex6_2_12,10.76,7762
ex8_4_4bis,114.72,77360
hs093,751.14,458120
ex6_2_10,789.89,330664
ex14_2_7,79.21,11662
ex6_1_3bis,36.09,11214
ex8_5_1bis,20.79,3748
hs102,3596.57,890672
hs103,1182.55,259338
dualc5,126.8,54842
dualc8,566.36,190924
ex2_1_9bis,166.78,74892
hs108,183.18,42286
mistake,1457.84,402170
ex2_1_9,12.37,5120
odfits,54.81,18224
hs113,21.45,5176
chem,3197.2,904904
chem-1,2672.94,904904
chembis,1050.74,479008
ex6_1_3,110.54,14904
sambal,3481.01,536908
himmel16,25.2,3816
ex2_1_7,18.78,2556
ex2_1_8,15.28,1600
launch,4.61,108
