Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,446.58,1308
ex6_2_6,84.71,59960
ex6_2_8,42.71,31776
ex6_2_9,34.08,21462
ex6_2_12,10.51,7762
ex8_4_4bis,121.83,78686
hs093,680.23,389794
ex6_2_10,812.72,330664
ex14_2_7,91.73,1308
ex6_1_3bis,35.71,11214
ex8_5_1bis,23.26,4472
hs102,3431.49,898478
hs103,1174.79,252076
dualc5,135.36,56356
dualc8,570.25,187588
ex2_1_9bis,162.47,74828
hs108,252.92,46220
mistake,1366.24,408260
ex2_1_9,12.6,5172
odfits,55.2,17930
hs113,25.29,5904
chem,3423.39,906304
chem-1,2723.49,906304
chembis,1068.17,480316
ex6_1_3,123.05,16528
sambal,3252.38,490976
himmel16,32.23,4536
ex2_1_7,18.63,2470
ex2_1_8,15.45,1622
launch,12.0,422
