Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,261.82,1292
ex6_2_6,85.16,60194
ex6_2_8,41.86,31744
ex6_2_9,33.54,21514
ex6_2_12,11.61,7800
ex8_4_4bis,109.0,79812
hs093,737.05,455888
ex6_2_10,699.02,330908
ex14_2_7,31.62,9998
ex6_1_3bis,11.75,11138
ex8_5_1bis,7.26,4176
hs102,2970.62,1014920
hs103,1104.82,275646
dualc5,116.11,58706
dualc8,424.21,188748
ex2_1_9bis,176.77,145058
hs108,169.07,49434
mistake,1983.87,668264
ex2_1_9,18.44,10074
odfits,49.86,18416
hs113,22.7,5012
chem,2389.83,913678
chem-1,1697.1,913678
chembis,856.25,487898
ex6_1_3,79.64,14802
sambal,2961.54,468054
himmel16,22.06,2376
ex2_1_7,42.23,5174
ex2_1_8,40.33,4140
launch,8.13,200
