Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,200.17,1376
ex6_2_6,86.78,60488
ex6_2_8,45.76,31922
ex6_2_9,39.40,21514
ex6_2_12,11.75,7800
ex8_4_4bis,111.37,77992
hs093,518.36,425632
ex6_2_10,725.72,330898
ex14_2_7,35.96,11302
ex6_1_3bis,10.94,11138
ex8_5_1bis,6.95,3858
hs102,3152.33,1041984
hs103,962.55,284440
dualc5,114.34,57076
dualc8,515.33,189990
ex2_1_9bis,134.30,123814
hs108,218.86,50252
mistake,1842.47,574400
ex2_1_9,17.04,9676
odfits,50.81,18300
hs113,22.33,5728
chem,2780.62,914704
chem-1,1962.53,914704
chembis,850.43,486614
ex6_1_3,85.15,15080
sambal,3548.47,526966
himmel16,16.63,2434
ex2_1_7,40.58,4602
ex2_1_8,29.73,3346
launch,9.41,178
