Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
sambal,3044.548,497918
hs102,2825.546,1008292
chem,2440.034,918606
mistake,1810.048,638108
chem-1,1750.396,918606
hs103,1046.316,273681
chembis,855.97,491820
ex6_2_10,717.604,330871
hs093,642.838,421930
dualc8,445.9,188729
hs088,256.72799999999995,1322
hs108,179.66199999999998,45308
ex2_1_9bis,146.282,128088
dualc5,117.518,56940
ex8_4_4bis,109.752,77477
ex6_2_6,86.014,60108
ex6_1_3,83.228,15782
odfits,51.465999999999994,18433
ex2_1_7,45.263999999999996,5472
ex6_2_8,44.652,31884
ex14_2_7,40.258,12306
ex6_2_9,34.798,21514
ex2_1_8,29.451999999999998,3017
hs113,23.607999999999997,5753
ex2_1_9,20.282,11236
himmel16,19.827999999999996,2399
ex6_2_12,11.368,7800
ex6_1_3bis,11.3,11138
launch,9.678,267
ex8_5_1bis,7.396000000000001,4216
