Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,202.13,1302
ex6_2_6,88.09,60086
ex6_2_8,44.11,31806
ex6_2_9,34.87,21514
ex6_2_12,10.62,7800
ex8_4_4bis,111.13,76158
hs093,642.19,394684
ex6_2_10,738.27,330898
ex14_2_7,42.70,13376
ex6_1_3bis,11.17,11138
ex8_5_1bis,7.35,4220
hs102,3163.04,1015522
hs103,1110.54,257926
dualc5,108.77,55560
dualc8,432.45,189486
ex2_1_9bis,121.95,103298
hs108,159.67,39076
mistake,2025.86,668180
ex2_1_9,22.80,12534
odfits,50.49,18756
hs113,21.68,5494
chem,2655.92,920994
chem-1,1701.66,920994
chembis,864.58,499088
ex6_1_3,76.37,17038
sambal,3548.47,526966
himmel16,20.97,2434
ex2_1_7,35.95,4586
ex2_1_8,33.35,3346
launch,16.66,578
