Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,332.74,1350
ex6_2_6,84.19,59886
ex6_2_8,44.56,31974
ex6_2_9,31.65,21514
ex6_2_12,11.38,7800
ex8_4_4bis,107.29,76310
hs093,639.49,380324
ex6_2_10,773.33,330908
ex14_2_7,48.96,14346
ex6_1_3bis,11.38,11138
ex8_5_1bis,8.22,4704
hs102,2567.72,986626
hs103,1027.92,275968
dualc5,124.95,57490
dualc8,427.11,186532
ex2_1_9bis,165.2,142832
hs108,192.64,49370
mistake,1245.01,486886
ex2_1_9,25.26,13858
odfits,51.61,18250
hs113,27.86,6824
chem,2184.33,923888
chem-1,1696.63,923888
chembis,877.84,502052
ex6_1_3,81.28,16120
sambal,2657.02,476086
himmel16,19.74,2376
ex2_1_7,68.3,7804
ex2_1_8,27.68,2702
launch,6.87,182
