Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,118.12,1306
ex6_2_6,88.02,60310
ex6_2_8,42.46,31844
ex6_2_9,5.67,21512
ex6_2_12,10.69,7816
ex8_4_4bis,120.63,77992
hs093,429.15,458904
ex6_2_10,727.23,330954
ex14_2_7,34.94,11574
ex6_1_3bis,10.96,11266
ex8_5_1bis,7.54,4138
hs102,3021.19,100720
hs103,728.9,256768
dualc5,114.78,55866
dualc8,502.16,189900
ex2_1_9bis,155.4,151184
hs108,118.28,40020
mistake,2646.6,772838
ex2_1_9,18.23,13674
odfits,53.94,18342
hs113,20.93,4938
chem,2736.7,898194
chem-1,1960.84,898194
chembis,855.79,488170
ex6_1_3,74.7,16290
sambal,3221.96,486942
himmel16,12.76,1942
ex2_1_7,40.63,4838
ex2_1_8,16.13,1650
launch,7.93,238
