Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,139.28,1342
ex6_2_6,88.9,60580
ex6_2_8,40.91,31844
ex6_2_9,34.57,21512
ex6_2_12,10.21,7816
ex8_4_4bis,124.99,79812
hs093,721.94,460356
ex6_2_10,753.63,330576
ex14_2_7,43.4,13314
ex6_1_3bis,10.86,11128
ex8_5_1bis,8.02,4412
hs102,3026.36,100340
hs103,1065.01,265336
dualc5,103.69,54888
dualc8,432.6,188814
ex2_1_9bis,184.06,152978
hs108,153.33,49464
mistake,1289.53,428302
ex2_1_9,8.26,5644
odfits,51.91,18470
hs113,25.97,5702
chem,2169.72,912370
chem-1,1696.52,915942
chembis,846.23,486738
ex6_1_3,71.55,14762
sambal,3180.51,488036
himmel16,27.53,4324
ex2_1_7,25.45,3450
ex2_1_8,16.14,1616
launch,8.53,200
