Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
sambal,2976.484,391625
hs102,2800.124,99633
chem,2329.142,910844
mistake,1756.9900000000002,590348
chem-1,1747.988,909943
hs103,999.932,267996
chembis,852.0219999999999,487056
ex6_2_10,708.92,330804
hs093,625.588,446768
dualc8,462.6700000000001,189517
hs108,181.95,49978
ex2_1_9bis,162.286,145682
hs088,156.584,1328
ex8_4_4bis,118.046,77477
dualc5,111.64200000000001,56258
ex6_2_6,87.042,60330
ex6_1_3,76.16,15934
odfits,51.327999999999996,18620
ex6_2_8,41.174,31895
ex14_2_7,40.79600000000001,12750
ex2_1_7,39.013999999999996,4786
launch,29.858000000000004,1778
ex6_2_9,28.766,21512
hs113,22.472,5285
himmel16,20.648,2936
ex2_1_8,17.413999999999998,1668
ex2_1_9,14.01,9987
ex6_1_3bis,11.05,11183
ex6_2_12,10.352,7816
ex8_5_1bis,7.92,4350
