Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,197.96,1336
ex6_2_6,82.21,60204
ex6_2_8,40.84,31902
ex6_2_9,33.28,21512
ex6_2_12,10.26,7816
ex8_4_4bis,112.45,76310
hs093,740.07,458198
ex6_2_10,709.89,330576
ex14_2_7,41.99,12954
ex6_1_3bis,11.34,11128
ex8_5_1bis,8.44,4852
hs102,2589.24,100564
hs103,1051.39,271716
dualc5,108.93,55562
dualc8,427.67,189292
ex2_1_9bis,163.08,142672
hs108,279.51,59576
mistake,2133.73,771760
ex2_1_9,14.77,10242
odfits,48.42,18590
hs113,23.98,5836
chem,2169.72,912370
chem-1,1700.57,912370
chembis,859.68,487390
ex6_1_3,78.27,15256
sambal,2848.83,498946
himmel16,16.23,2210
ex2_1_7,51.83,6674
ex2_1_8,18.43,1620
launch,7.5,182
