Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,362.76,1352
ex6_2_6,80.97,60408
ex6_2_8,31.85,31750
ex6_2_9,31.86,21528
ex6_2_12,9.58,7778
ex8_4_4bis,114.09,78110
hs093,757.04,459526
ex6_2_10,769.76,330648
ex14_2_7,83.12,12536
ex6_1_3bis,19.76,11192
ex8_5_1bis,10.37,3660
hs102,3495.77,913242
hs103,1070.52,240888
dualc5,123.51,54420
dualc8,516.12,189592
ex2_1_9bis,160.87,75320
hs108,181.75,45256
mistake,1596.72,430910
ex2_1_9,13.08,5128
odfits,53.09,17652
hs113,18.85,4270
chem,2915.65,902646
chem-1,2934.14,902646
chembis,1480.04,484124
ex6_1_3,123.29,15722
sambal,3391.83,517562
himmel16,33.12,4218
ex2_1_7,20.78,2372
ex2_1_8,18.61,1596
launch,35.66,2528
