Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,386.35,1352
ex6_2_6,81.4,60012
ex6_2_8,40.18,31750
ex6_2_9,30.4,21528
ex6_2_12,9.07,7778
ex8_4_4bis,109.33,77564
hs093,692.4,452144
ex6_2_10,758.92,330768
ex14_2_7,69.36,10818
ex6_1_3bis,19.58,11186
ex8_5_1bis,11.03,4208
hs102,3671.82,955238
hs103,1073.24,255954
dualc5,111.19,52932
dualc8,535.72,188742
ex2_1_9bis,161.1,76766
hs108,159.49,41758
mistake,1592.93,413256
ex2_1_9,12.19,5014
odfits,54.95,18420
hs113,21.8,5322
chem,3013.2,912404
chem-1,3029.89,912404
chembis,1040.32,481564
ex6_1_3,135.81,18940
sambal,3478.3,522610
himmel16,32.28,3680
ex2_1_7,22.52,2440
ex2_1_8,16.61,1618
launch,7.91,304
