Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,3595.74,921772
sambal,3390.44,507156
chem-1,2997.19,908216
chem,2962.79,908216
mistake,1583.96,428351
chembis,1213.15,484216
hs103,1059.9,250623
ex6_2_10,762.79,330777
hs093,685.21,418405
dualc8,538.42,189976
hs088,370.45,1352
hs108,162.71,41338
ex2_1_9bis,159.38,75417
ex6_1_3,127.83,16814
dualc5,118.57,53760
ex8_4_4bis,111.4,77285
ex6_2_6,82.61,60310
ex14_2_7,72.98,11386
odfits,55.21,18108
ex6_2_8,37.86,31777
ex6_2_9,30.64,21528
himmel16,28.71,3653
launch,23.52,1324
ex2_1_7,21.44,2448
hs113,20.22,4933
ex6_1_3bis,19.51,11215
ex2_1_8,18.98,1763
ex2_1_9,12.2,5093
ex8_5_1bis,11.22,3924
ex6_2_12,9.17,7778
