Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,366.95,1352
ex6_2_6,80.82,60254
ex6_2_8,39.5,31794
ex6_2_9,30.17,21528
ex6_2_12,9.09,7778
ex8_4_4bis,112.97,77442
hs093,643.48,375742
ex6_2_10,757.09,330912
ex14_2_7,63.78,10036
ex6_1_3bis,19.51,11254
ex8_5_1bis,11.31,3806
hs102,3609.87,926048
hs103,981.76,250290
dualc5,119.63,53022
dualc8,552.8,192316
ex2_1_9bis,159.23,75136
hs108,169.18,41586
mistake,1623.12,447236
ex2_1_9,11.7,5154
odfits,59.13,17960
hs113,21.64,5604
chem,2988.97,912478
chem-1,3009.9,912478
chembis,1077.92,483166
ex6_1_3,121.24,16328
sambal,3151.11,466382
himmel16,27.85,3926
ex2_1_7,22.16,2400
ex2_1_8,20.24,1908
launch,14.02,514
