Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,351.62,1352
ex6_2_6,84.85,60468
ex6_2_8,38.48,31798
ex6_2_9,31.08,21528
ex6_2_12,9.11,7778
ex8_4_4bis,108.33,76174
hs093,710.29,404816
ex6_2_10,781.94,330648
ex14_2_7,76.88,11972
ex6_1_3bis,19.55,11192
ex8_5_1bis,12.36,3930
hs102,3677.5,914510
hs103,1138.42,256012
dualc5,116.44,54388
dualc8,544.0,190698
ex2_1_9bis,162.38,75064
hs108,149.05,36588
mistake,1516.06,421014
ex2_1_9,11.7,5078
odfits,52.32,18420
hs113,19.14,4536
chem,2897.02,908284
chem-1,3042.63,908284
chembis,1411.16,486592
ex6_1_3,123.95,16908
sambal,3315.01,499488
himmel16,33.4,4376
ex2_1_7,20.06,2426
ex2_1_8,19.94,1884
launch,49.63,2832
