Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,384.57,1352
ex6_2_6,85.01,60408
ex6_2_8,39.29,31794
ex6_2_9,29.71,21528
ex6_2_12,8.99,7778
ex8_4_4bis,112.3,77136
hs093,622.84,399800
ex6_2_10,746.26,330912
ex14_2_7,71.76,11570
ex6_1_3bis,19.17,11254
ex8_5_1bis,11.05,4018
hs102,3523.76,899826
hs103,1035.56,249974
dualc5,122.09,54038
dualc8,543.44,188534
ex2_1_9bis,153.32,74802
hs108,154.07,41506
mistake,1590.98,429342
ex2_1_9,12.34,5092
odfits,56.58,18088
hs113,19.65,4934
chem,2999.13,905272
chem-1,2969.41,905272
chembis,1056.31,485634
ex6_1_3,134.88,16176
sambal,3615.96,529742
himmel16,16.88,2068
ex2_1_7,21.66,2602
ex2_1_8,19.52,1812
launch,10.38,444
