Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,476.05,1308
ex6_2_6,83.17,60258
ex6_2_8,42.64,31838
ex6_2_9,34.35,21462
ex6_2_12,9.67,7762
ex8_4_4bis,111.3,77360
hs093,737.97,415118
ex6_2_10,740.14,330664
ex14_2_7,48.57,12258
ex6_1_3bis,11.23,11214
ex8_5_1bis,6.76,3748
hs102,3258.67,907064
hs103,1242.21,254886
dualc5,115.01,54198
dualc8,479.7,189586
ex2_1_9bis,96.62,74716
hs108,139.6,43518
mistake,1663.04,408302
ex2_1_9,12.36,5178
odfits,58.66,17798
hs113,22.03,5146
chem,2968.74,904954
chem-1,1961.0,904954
chembis,923.31,478210
ex6_1_3,139.54,18896
sambal,3352.98,487744
himmel16,27.44,3764
ex2_1_7,23.91,2500
ex2_1_8,19.39,1600
launch,6.25,108
