Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs088,473.21,1308
ex6_2_6,85.27,60294
ex6_2_8,40.19,31848
ex6_2_9,32.92,21558
ex6_2_12,9.86,7762
ex8_4_4bis,106.08,77224
hs093,706.72,432858
ex6_2_10,677.35,330888
ex14_2_7,41.75,10784
ex6_1_3bis,10.54,11214
ex8_5_1bis,7.35,4270
hs102,2352.53,909700
hs103,1189.52,271978
dualc5,109.4,54784
dualc8,473.44,186674
ex2_1_9bis,97.49,75118
hs108,149.57,37918
mistake,1276.63,415864
ex2_1_9,13.08,5214
odfits,59.27,18194
hs113,22.22,5472
chem,2323.52,909574
chem-1,1848.33,909574
chembis,835.94,485818
ex6_1_3,122.02,15988
sambal,2614.69,511444
himmel16,40.67,4396
ex2_1_7,22.3,2402
ex2_1_8,16.2,1594
launch,6.64,144
