Archivo,Promedio de tiempo en segundos,Promedio de cantidad cajas
hs102,4120.14,896870
sambal,2907.63,494009
chem,2599.23,905817
chem-1,1857.87,905817
mistake,1386.87,414976
hs103,1171.48,259465
chembis,891.64,482584
hs093,748.98,442558
ex6_2_10,721.79,330798
hs088,489.84,1324
dualc8,474.03,188511
hs108,134.61,41024
ex6_1_3,131.54,16573
ex8_4_4bis,112.26,77980
dualc5,111.0,54996
ex2_1_9bis,99.82,74894
ex6_2_6,84.15,60247
odfits,58.75,18116
ex14_2_7,44.99,11495
ex6_2_8,41.94,31766
himmel16,35.41,4096
ex6_2_9,33.25,21500
ex2_1_7,23.79,2441
hs113,21.16,4984
ex2_1_8,17.56,1634
ex2_1_9,12.97,5161
launch,11.97,649
ex6_1_3bis,10.83,11214
ex6_2_12,9.73,7762
ex8_5_1bis,7.53,4245
